Condition,Year,Make_Model,Price,Stock
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,Stock #:
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2025,Hyundai TUCSON HYBRID SEL Convenience,,
New,2025,Hyundai TUCSON HYBRID Blue,,
New,2025,Hyundai TUCSON HYBRID Limited,,
New,2024,Hyundai KONA SEL AWD,,
Used,2013,Hyundai VELOSTER Base,,Stock #: 048135B
Used,2013,Hyundai VELOSTER Style,,Stock #: 100526B
Used,2018,Kia Forte EX,,Stock #: L683244A
Used,2013,Hyundai ELANTRA Limited,,Stock #: P3988
Used,2015,Hyundai TUCSON SE,,Stock #: P3986
Used,2015,Hyundai SONATA Limited,,Stock #: 919846A
Used,2016,Chevrolet Cruze LS,,Stock #: 919846E
Used,2013,Chevrolet Silverado 1500 Work Truck,,Stock #: P3984
Used,2015,Volvo XC60 T5 Premier,,Stock #: 914553A
Used,2015,Kia Optima EX,,Stock #: 927736A
Used,2018,Nissan Rogue Sport S,,Stock #: D086445B
Used,2017,Ford Escape Titanium,,Stock #: 334962A
Used,2017,Cadillac XT5 Luxury,,Stock #: 100721B
Used,2018,Ford Explorer XLT,,Stock #: D112666A
Used,2014,Nissan Murano LE,,Stock #: P3890
Used,2012,Honda CR-V EX-L,,Stock #: D257708A
Used,2021,Hyundai VENUE SE,,Stock #: D555044A
Used,2019,Kia Forte LXS,,Stock #: 938121B
Used,2015,Toyota RAV4 XLE,,Stock #: 921845B
Used,2018,Hyundai TUCSON SEL,,Stock #: P3878B
Used,2018,Ford Edge SEL,,Stock #: D112666E
Used,2020,Hyundai SANTA FE Limited,,Stock #: P3878A
Used,2018,GMC Acadia SLT-1,,Stock #: 046320A
Used,2022,Hyundai VENUE SE,,Stock #: D557791A
Used,2020,Ford Explorer XLT,,Stock #: D893910A
Used,2023,Hyundai VENUE SEL,,Stock #: 095476A
Used,2020,Hyundai SANTA FE SEL,,Stock #: P3983
Used,2022,Hyundai ELANTRA SEL,,Stock #: D555490A
Used,2019,Toyota RAV4 LE,,Stock #: D045183B
Used,2019,Mazda CX-5 Touring,,Stock #: D486132A
Used,2023,Hyundai KONA SEL,,Stock #: L453460A
Used,2020,Hyundai TUCSON SEL,,Stock #: D018174A
New,2024,Hyundai ELANTRA SEL,,Stock #: L707730
Used,2020,Ford Explorer XLT,,
Used,2021,Hyundai SANTA FE SEL,,Stock #: 317966A
Used,2021,Cadillac XT4 Premium Luxury,,Stock #: P3883
Used,2022,Hyundai TUCSON SE,,Stock #: D009736A
Used,2019,Jeep Cherokee Limited,,Stock #: 329914A
New,2024,Hyundai ELANTRA SEL,,Stock #: L707790
New,2024,Hyundai ELANTRA SEL,,
Used,2022,Toyota Corolla SE,,
Used,2020,Chevrolet Traverse LS,,Stock #: D135116A
New,2024,Hyundai ELANTRA SEL Convenience,,Stock #: L708888
Used,2024,Hyundai ELANTRA HYBRID Limited,,
Used,2021,Hyundai SONATA N Line,,Stock #: D025385B
Used,2025,Hyundai ELANTRA SEL SPORT,,Stock #: 957142A
Used,2023,Hyundai TUCSON SEL,,Stock #: L075449A
New,2024,Hyundai ELANTRA SEL,,Stock #: L680791
Used,2023,Hyundai SANTA FE SE,,Stock #: 921845E
