Condition_Year,Make_Model,Price,Vin
Pre-Owned 2014,Nissan Sentra S,"$7,969",VIN: 3N1AB7APXEY202668
Pre-Owned 2013,Nissan Rogue SL,"$13,519",VIN: JN8AS5MV4DW654606
Pre-Owned 2020,Nissan Rogue S,"$14,310",VIN: 5N1AT2MT4LC722985
Pre-Owned 2019,Nissan Rogue SV,"$14,358",VIN: JN8AT2MT4KW253659
Pre-Owned 2020,Nissan Rogue SV,"$15,994",VIN: 5N1AT2MT5LC784248
Certified Pre-Owned 2020,Nissan Kicks SV,"$17,774",VIN: 3N1CP5CV1LL556986
Pre-Owned 2020,Nissan Pathfinder SV,"$17,826",VIN: 5N1DR2BMXLC609906
Pre-Owned 2018,Nissan Murano Platinum,"$17,856",VIN: 5N1AZ2MG5JN144656
Certified Pre-Owned 2024,Nissan Versa S,"$17,868",VIN: 3N1CN8DV4RL872736
Certified Pre-Owned 2024,Nissan Versa S,"$18,282",VIN: 3N1CN8DV0RL857134
Pre-Owned 2018,Nissan Murano SL,"$19,982",VIN: 5N1AZ2MH4JN119241
Certified Pre-Owned 2024,Nissan Kicks SV,"$20,975",VIN: 3N1CP5CV7RL546469
Certified Pre-Owned 2024,Nissan Sentra SV,"$20,975",VIN: 3N1AB8CV5RY283778
Certified Pre-Owned 2022,Nissan Sentra SR,"$20,991",VIN: 3N1AB8DV9NY305449
New 2025,Nissan Sentra S,"$23,425",VIN: 3N1AB8BV5SY322182
New 2025,Nissan Sentra S,"$23,425",VIN: 3N1AB8BV2SY298813
Certified Pre-Owned 2023,Nissan Kicks SV,"$21,822",VIN: 3N1CP5CV8PL555517
Certified Pre-Owned 2023,Nissan Kicks SV,"$21,828",VIN: 3N1CP5CV2PL520097
Certified Pre-Owned 2022,Nissan Altima 2.5 SV,"$21,896",VIN: 1N4BL4DV9NN341037
Certified Pre-Owned 2022,Nissan Sentra SR,"$22,624",VIN: 3N1AB8DVXNY231507
Certified Pre-Owned 2021,Nissan Rogue SV,"$23,877",VIN: 5N1AT3BAXMC734132
Certified Pre-Owned 2021,Nissan Rogue Platinum,"$23,971",VIN: JN8BT3DC0MW425103
Certified Pre-Owned 2023,Nissan Altima 2.0 SR,"$23,992",VIN: 1N4AL4CV4PN311881
Certified Pre-Owned 2022,Nissan Rogue SV,"$24,992",VIN: 5N1BT3BA6NC724767
Certified Pre-Owned 2022,Nissan Pathfinder SV,"$25,664",VIN: 5N1DR3BAXNC233948
Certified Pre-Owned 2023,Nissan Maxima SV,"$25,742",VIN: 1N4AA6CV9PC510860
New 2025,Nissan Altima SV,"$29,550",VIN: 1N4BL4DVXSN387150
New 2025,Nissan Altima SV,"$29,550",VIN: 1N4BL4DV6SN387825
New 2025,Nissan Sentra SR,"$29,535",VIN: 3N1AB8DVXSY319940
New 2025,Nissan Altima SV,"$30,000",VIN: 1N4BL4DV5SN387069
New 2025,Nissan Kicks SR,"$29,955",VIN: 3N8AP6DB9SL383574
New 2025,Nissan Rogue S,"$30,710",VIN: 5N1BT3AA9SC847735
New 2025,Nissan Rogue S,"$30,710",VIN: 5N1BT3AA0SC848319
Certified Pre-Owned 2022,Nissan Frontier SV,"$28,680",VIN: 1N6ED1EK5NN603110
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA9SC847121
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA7SC849188
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA5SC848931
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA5SC847147
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA4SC847298
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA2SC846893
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA1SC848974
New 2025,Nissan Rogue SV,"$31,985",VIN: 5N1BT3BA0SC849064
Certified Pre-Owned 2023,Nissan Pathfinder SV,"$28,974",VIN: 5N1DR3BB4PC218275
New 2025,Nissan Rogue SV,"$32,435",VIN: 5N1BT3BA7SC849403
New 2025,Nissan Rogue SV,"$32,435",VIN: 5N1BT3BA6SC848212
New 2025,Nissan Rogue SV,"$32,435",VIN: 5N1BT3BA4SC849293
New 2025,Nissan Rogue SV,"$32,435",VIN: 5N1BT3BA3SC849317
New 2025,Nissan Rogue SV,"$32,435",VIN: 5N1BT3BA2SC849258
New 2025,Nissan Kicks SR,"$30,965",VIN: 3N8AP6DA7SL309626
New 2025,Nissan Rogue S,"$31,745",VIN: 5N1BT3AA5SC775688
New 2025,Nissan Kicks SR,"$31,475",VIN: 3N8AP6DC9SL370655
New 2025,Nissan Rogue SV,"$33,240",VIN: 5N1BT3BA2SC672565
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BAXSC854708
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA7SC846162
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA7SC844394
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA6SC847304
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA5SC846032
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA2SC854203
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA2SC845548
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA1SC854094
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA1SC845699
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA1SC845508
New 2025,Nissan Rogue SV,"$33,985",VIN: 5N1BT3BA0SC854619
Pre-Owned 2019,Nissan Titan XD SV,"$31,992",VIN: 1N6BA1F49KN506662
New 2025,Nissan Kicks SR,"$33,555",VIN: 3N8AP6DD6SL383016
New 2025,Nissan Kicks SR,"$33,810",VIN: 3N8AP6DD5SL379653
New 2025,Nissan Rogue SV,"$35,655",VIN: JN8BT3BA4SW002961
New 2025,Nissan Rogue SV,"$35,690",VIN: 5N1BT3BA6SC827375
Certified Pre-Owned 2024,Nissan ARIYA PLATINUM+,"$33,099",VIN: JN1DF0CD5RM732437
New 2025,Nissan Rogue SV,"$36,255",VIN: 5N1BT3BA1SC800990
New 2025,Nissan Rogue SL,"$38,450",VIN: JN8BT3CA8SW003769
