Price,Dealer_Make,Dealer,Vin,Stock,CPOV,Condition,Year,Make,Model,Trim
"$39,580","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
"$40,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
"$40,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,l laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
"$42,375","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
"$42,480","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
"$42,480","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Dodge,Durango,gt
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,RAM,1500,tradesman
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Voyager,lx
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Voyager,lx
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Chrysler,Voyager,lx
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Grand cherokee,laredo x
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,,0,New,2025,Jeep,Gladiator,nighthawk
