Condition_Year_Make_Model,Price,Dealer_Make,Dealer,Vin,Stock
new 2025 jeep grand cherokee laredo x,"$39,580","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,"$40,090","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,"$40,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,"$42,375","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,"$42,480","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,"$42,480","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler voyager lx,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler voyager lx,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler voyager lx,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee laredo x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,"$43,485","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango gt,"$45,675","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,"$45,780","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler pacifica select,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator nighthawk,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,"$48,175","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee altitude x,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler voyager lx,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 chrysler voyager lx,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,"$49,675","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep gladiator mojave,"$53,690","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,"$52,020","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram promaster cargo van tradesman,"$51,745","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge durango r/t,"$53,680","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,"$52,540","['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler sport s,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep wrangler willys,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 dodge charger daytona r/t,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee l limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 ram 1500 big horn,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
new 2025 jeep grand cherokee limited,,"['Chrysler', 'Dodge', 'Jeep', 'RAM']",1,,
