Condition_Year,Make_Model,Price,Vin
New 2024,Jeep Grand Wagoneer Series III,"$118,255",VIN: 1C4SJVGP6RS100868
New 2024,Jeep Grand Wagoneer Series III,"$122,145",VIN: 1C4SJVGP5RS111988
New 2024,Jeep Grand Wagoneer Series III,"$118,255",VIN: 1C4SJVGP9RS100864
New 2024,Jeep Grand Wagoneer Series III,"$118,255",VIN: 1C4SJVGP8RS100869
New 2024,Jeep Grand Cherokee 4xe Trailhawk 4xe,"$67,980",VIN: 1C4RJYC68R8953590
New 2024,RAM 3500 Laramie,"$97,535",VIN: 3C63R3EL3RG362587
New 2024,Dodge Charger R/T Scat Pack,"$82,970",VIN: 2C3CDBDK4RR208110
New 2024,Dodge Charger R/T Scat Pack,"$85,170",VIN: 2C3CDBDK1RR205455
New 2025,RAM 1500 Limited,"$81,305",VIN: 1C6SRFHP9SN550782
New 2025,RAM 1500 Tradesman,"$47,815",VIN: 1C6RRFCG3SN700083
New 2025,Dodge Charger R/T,"$62,685",VIN: 2C3CDBCKXSR543329
New 2025,Dodge Charger R/T,"$61,590",VIN: 2C3CDBCK8SR537397
New 2025,Dodge Charger R/T,"$61,590",VIN: 2C3CDBCK6SR537396
New 2025,Dodge Charger R/T,"$61,590",VIN: 2C3CDBCK4SR537395
New 2024,RAM 2500 Limited,"$98,875",VIN: 3C6UR5TL6RG207373
New 2025,RAM 1500 Laramie,"$76,560",VIN: 1C6SRFJP2SN552898
New 2025,RAM 1500 Big Horn/Lone Star,"$65,515",VIN: 1C6SRFFP7SN628155
New 2024,RAM ProMaster EV Super High Roof,"$89,530",VIN: 3C6MRWAZ9RE126957
New 2025,RAM 1500 Tradesman,"$56,650",VIN: 1C6SRFGP6SN730786
New 2025,RAM 1500 Big Horn/Lone Star,"$62,790",VIN: 1C6RRFFG1SN575581
New 2025,RAM 1500 Big Horn/Lone Star,"$61,110",VIN: 1C6SRFMP1SN606168
New 2025,RAM 1500 Big Horn/Lone Star,"$62,345",VIN: 1C6SRFFP9SN739340
New 2025,RAM 1500 Big Horn/Lone Star,"$63,180",VIN: 1C6SRFFP5SN703659
New 2025,RAM 1500 Big Horn/Lone Star,"$62,050",VIN: 1C6SRFFP2SN739339
New 2025,RAM 1500 Big Horn/Lone Star,"$62,345",VIN: 1C6SRFFP0SN739338
New 2025,RAM 1500 Big Horn/Lone Star,"$69,455",VIN: 1C6SRFFP0SN605784
New 2025,Jeep Grand Cherokee L Limited,"$58,555",VIN: 1C4RJKBGXS8649822
New 2025,Jeep Grand Cherokee L Limited,"$57,960",VIN: 1C4RJKBG9S8633837
New 2025,Jeep Grand Cherokee L Limited,"$54,040",VIN: 1C4RJKBG8S8649818
New 2025,Jeep Grand Cherokee L Limited,"$54,040",VIN: 1C4RJKBG8S8633845
New 2025,Jeep Grand Cherokee L Limited,"$57,960",VIN: 1C4RJKBG6S8649820
New 2025,RAM 1500 Rebel,"$67,470",VIN: 1C6SRFLP8SN618710
New 2025,RAM 1500 Laramie,"$80,810",VIN: 1C6SRFJP8SN729129
New 2025,RAM 1500 Laramie,"$74,110",VIN: 1C6SRFJP7SN736802
New 2025,RAM 1500 Laramie,"$79,465",VIN: 1C6SRFJP4SN673738
New 2025,RAM 1500 Laramie,"$79,415",VIN: 1C6SRFJP2SN673737
New 2025,RAM 1500 Laramie,"$81,310",VIN: 1C6SRFJP0SN673736
New 2024,Jeep Wrangler Rubicon 392,"$96,200",VIN: 1C4RJXSJ9RW280837
New 2024,RAM 2500 Tradesman,"$72,585",VIN: 3C6UR5CLXRG245494
New 2025,RAM 1500 Tradesman,"$53,455",VIN: 1C6SRFGP6SN726690
New 2025,RAM 1500 Tradesman,"$53,455",VIN: 1C6SRFGP6SN726687
New 2025,RAM 1500 Tradesman,"$53,455",VIN: 1C6SRFGP5SN726695
New 2025,RAM 1500 Tradesman,"$56,355",VIN: 1C6SRFGP5SN703398
New 2025,RAM 1500 Tradesman,"$56,650",VIN: 1C6SRFGP4SN730785
New 2025,RAM 1500 Tradesman,"$53,455",VIN: 1C6SRFGP3SN726694
New 2025,RAM 1500 Tradesman,"$53,455",VIN: 1C6SRFGP1SN726693
New 2025,RAM 1500 Tradesman,"$56,600",VIN: 1C6SRFGP1SN703396
New 2025,Jeep Grand Cherokee L Limited,"$57,560",VIN: 1C4RJKBG3S8667370
New 2025,Jeep Grand Cherokee L Limited,"$54,835",VIN: 1C4RJKBG1S8667819
New 2025,Jeep Grand Cherokee L Limited,"$52,635",VIN: 1C4RJJBG4S8651737
New 2025,Jeep Gladiator Mojave,"$65,410",VIN: 1C6RJTEGXSL515799
New 2025,Jeep Gladiator Mojave,"$60,700",VIN: 1C6RJTEG8SL515803
New 2025,Jeep Gladiator Mojave,"$66,165",VIN: 1C6RJTEG7SL519602
New 2025,Jeep Gladiator Mojave,"$63,120",VIN: 1C6RJTEG6SL515802
