Condition,Year_Make_Model,Price,Vin
Used,2022 Nissan  Pathfinder SL 4WD,"$29,995",VIN: 5N1DR3CC1NC222742
Used,GOLD CERTIFIED2025 Toyota  Crown Limited AWD,"$45,999",VIN: JTDAAAAF5S3032891
Used,2018 Tesla  Model 3 Long Range RWD,"$21,500",VIN: 5YJ3E1EAXJF058366
Used,2020 Toyota  Tundra SR5 4WD CrewMax,"$24,999",VIN: 5TFDY5F10LX887277
Used,2021 Ram  1500 Big Horn/Lone Star RWD Crew Cab,"$31,999",VIN: 1C6RREFTXMN711331
Used,2024 Ford  Maverick XL AWD Crew Cab,"$23,999",VIN: 3FTTW8B92RRA25565
Used,2021 Jeep  Compass 80th Special Edition 4WD,"$17,395",VIN: 3C4NJDEB1MT591887
Used,2018 Chevrolet  Trax LT FWD,"$13,250",VIN: 3GNCJLSB8JL166143
Used,2018 Jeep  Grand Cherokee Limited RWD,"$13,250",VIN: 1C4RJEBG8JC216335
Used,2019 Mercedes-Benz  Sprinter 2500 Cargo 144 WB RWD,"$31,995",VIN: WD4PF0CD9KP083214
Used,GOLD CERTIFIED2023 Toyota  Highlander XSE FWD,"$41,250",VIN: 5TDKDRAH1PS028015
Used,GOLD CERTIFIED2021 Toyota  Highlander L FWD,"$26,500",VIN: 5TDCZRAHXMS522973
Used,GOLD CERTIFIED2024 Toyota  Camry XSE FWD,"$30,999",VIN: 4T1K61AK6RU255346
Used,2021 Chevrolet  Tahoe LT 4WD,"$44,500",VIN: 1GNSKNKD0MR481537
Used,GOLD CERTIFIED2022 Toyota  RAV4 XLE Premium FWD,"$27,999",VIN: 2T3C1RFV1NC198108
Used,2021 Ford  Escape S FWD,"$15,999",VIN: 1FMCU0F65MUA50044
Used,2020 Land Rover  Range Rover Evoque S AWD,"$27,500",VIN: SALZJ2FX2LH068884
Used,2019 Jeep  Wrangler Unlimited Sport S 4WD,"$25,750",VIN: 1C4HJXDN6KW683644
Used,2017 Jeep  Wrangler Unlimited Sport 4WD,"$19,999",VIN: 1C4BJWDG8HL722987
Used,2018 Ford  F-150 XL 4WD Super Cab,"$12,000",VIN: 1FTEX1EP4JFD87311
Used,2019 Honda  Civic Sport FWD,"$16,995",VIN: 2HGFC2F80KH503084
Used,2018 Chevrolet  Equinox LT FWD,"$10,995",VIN: 2GNAXJEV4J6305415
Used,2017 Hyundai  Tucson SE FWD,"$12,995",VIN: KM8J23A41HU363246
Used,2021 Toyota  Corolla SE FWD,"$15,995",VIN: 5YFS4MCE6MP062879
