Condition_Year,Make_Model,Price,Vin
New 2024,New 2024 Chrysler Pacifica Hybrid Hybrid Premium S Appearance Pkg,"$58,355",
New 2024,New 2024 Chrysler Pacifica Limited,"$52,915",
New 2025,New 2025 Chrysler Pacifica Hybrid Hybrid Pinnacle,"$61,480",
Used 2016,Pre-Owned 2016 Dodge Journey Crossroad Plus,"$14,384",
Used 2020,Pre-Owned 2020 Dodge Charger SXT,"$19,316",
Used 2019,Pre-Owned 2019 Dodge Charger GT,"$20,895",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$22,984",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$23,251",
Used 2020,Pre-Owned 2020 Dodge Charger R/T,"$25,830",
Used 2022,Pre-Owned 2022 Dodge Durango SXT,"$27,416",
Used 2022,Pre-Owned 2022 Dodge Durango GT Plus,"$31,303",
Used 2021,Pre-Owned 2021 Dodge Durango R/T,"$32,747",
New 2025,New 2025 Dodge Durango GT,"$42,480",
New 2025,New 2025 Dodge Durango GT,"$43,280",
New 2024,New 2024 Dodge Hornet R/T Plus,"$52,180",
New 2023,New 2023 Dodge Challenger GT,"$46,110",
New 2023,New 2023 Dodge Challenger R/T Scat Pack,"$58,120",
New 2024,New 2024 Dodge Charger R/T,"$70,970",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2023,New 2023 Dodge Challenger R/T Scat Pack,"$58,120",
New 2025,New 2025 Dodge Durango R/T 20th Anniversary Plus,"$64,065",
New 2025,New 2025 Dodge Charger R/T,"$66,585",
New 2023,New 2023 Dodge Charger Scat Pack,"$66,870",
New 2024,New 2024 Dodge Charger Scat Pack,"$82,970",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,680",
New 2025,New 2025 Dodge Charger Scat Pack,"$82,970",
New 2024,New 2024 FIAT 500e INSPI(RED),"$34,095",
Used 2019,Pre-Owned 2019 Jeep Cherokee Latitude,"$14,698",
Used 2015,Pre-Owned 2015 Jeep Grand Cherokee Limited,"$15,015",
Used 2014,Pre-Owned 2014 Jeep Wrangler Unlimited Sahara,"$17,638",
Used 2020,Pre-Owned 2020 Jeep Cherokee Latitude Plus,"$22,521",
Used 2015,Pre-Owned 2015 Jeep Wrangler Unlimited Altitude,"$22,551",
